idx,INSEE,nom,latitude,longitude,population
5162,29053,LeFaou,48.300 ,-4.183 ,1522
5163,79221,Prisse,46.150 ,-0.500 ,1522
5164,2780,Venizel,49.367 ,3.383 ,1522
5165,69267,Villie-Morgon,46.167 ,4.683 ,1522
5166,27582,Saint-Ouen-du-Tilleul,49.283 ,0.950 ,1521
5167,60154,Cinqueux,49.317 ,2.517 ,1521
5168,66145,Ponteilla,42.633 ,2.817 ,1521
5169,18160,Nerondes,47.000 ,2.833 ,1521
5170,84074,Merindol,43.750 ,5.200 ,1521
5171,74131,Frangy,46.017 ,5.933 ,1521
5172,49027,Begrolles-en-Mauges,47.150 ,-0.933 ,1520
5173,19269,Treignac,45.533 ,1.800 ,1520
5174,77483,Varreddes,49.000 ,2.933 ,1520
5175,89443,Veron,48.133 ,3.300 ,1520
5176,51536,Sillery,49.200 ,4.133 ,1520
5177,39476,Saint-Aubin,47.033 ,5.333 ,1520
5178,14137,Carpiquet,49.183 ,-0.450 ,1519
5179,95142,Chars,49.167 ,1.933 ,1519
5180,80488,Longpre-les-Corps-Saints,50.017 ,1.983 ,1519
5181,26042,Beauvallon,44.867 ,4.917 ,1519
5182,22173,Planguenoual,48.533 ,-2.583 ,1518
5183,72358,Thorigne-sur-Due,48.033 ,0.533 ,1518
5184,69024,LeBois-d'Oingt,45.917 ,4.583 ,1518
5185,8145,Douzy,49.667 ,5.050 ,1518
5186,52432,Rolampont,47.950 ,5.267 ,1517
5187,74176,Menthon-Saint-Bernard,45.850 ,6.200 ,1517
5188,35306,Saint-Pere,48.583 ,-1.917 ,1516
5189,77016,Bagneaux-sur-Loing,48.233 ,2.700 ,1516
5190,14229,Dozule,49.233 ,-0.050 ,1515
5191,24133,LaCoquille,45.550 ,0.983 ,1515
5192,33501,Saucats,44.650 ,-0.600 ,1514
5193,79326,Thenezay,46.717 ,-0.033 ,1514
5194,71154,Crissey,46.817 ,4.883 ,1514
5195,84150,Visan,44.300 ,4.967 ,1514
5196,28380,Sours,48.417 ,1.600 ,1513
5197,25428,Nommay,47.533 ,6.850 ,1513
5198,56144,Naizin,47.983 ,-2.833 ,1512
5199,17091,Charron,46.283 ,-1.100 ,1512
5200,16393,Vars,45.767 ,0.117 ,1511
5201,80827,Woincourt,50.067 ,1.533 ,1511
5202,69241,Taluyers,45.650 ,4.733 ,1511
5203,49296,Saint-Laurent-des-Autels,47.283 ,-1.183 ,1510
5204,25190,Dampierre-les-Bois,47.500 ,6.917 ,1510
5205,34226,Quarante,43.350 ,2.967 ,1509
5206,68134,Herrlisheim-pres-Colmar,48.017 ,7.317 ,1509
5207,66093,Laroque-des-Alberes,42.517 ,2.933 ,1508
5208,54366,Messein,48.617 ,6.150 ,1508
5209,49137,LeFief-Sauvin,47.217 ,-1.033 ,1507
5210,31184,Flourens,43.600 ,1.567 ,1506
5211,78189,Crespieres,48.883 ,1.933 ,1506
5212,78343,Les-Loges-en-Josas,48.767 ,2.133 ,1506
5213,68359,Wattwiller,47.850 ,7.167 ,1506
5214,29080,Hopital-Camfrout,48.333 ,-4.233 ,1505
5215,63315,Saint-Amant-Tallende,45.667 ,3.117 ,1505
5216,71158,Cuisery,46.550 ,5.000 ,1505
5217,25453,Pierrefontaine-les-Varans,47.217 ,6.550 ,1505
5218,85140,LaMeilleraie-Tillay,46.733 ,-0.850 ,1504
5219,36142,Niherne,46.833 ,1.567 ,1504
5220,33097,Carcans,45.083 ,-1.050 ,1503
5221,64324,Lasseube,43.233 ,-0.483 ,1503
5222,11272,Palaja,43.167 ,2.383 ,1503
5223,67172,Griesheim-pres-Molsheim,48.500 ,7.533 ,1503
5224,38160,Eyzin-Pinet,45.467 ,4.983 ,1502
5225,88481,Urimenil,48.100 ,6.400 ,1502
5226,7072,Coux,44.767 ,4.617 ,1501
5227,83057,Flassans-sur-Issole,43.367 ,6.217 ,1501
5228,68089,Fellering,47.900 ,6.983 ,1501
5229,67368,Ottrott,48.450 ,7.417 ,1501
5230,68286,Rosenau,47.633 ,7.533 ,1501
5231,35130,Hede,48.300 ,-1.800 ,1500
5232,51431,Pierry,49.017 ,3.933 ,1500
5233,44197,Sion-les-Mines,47.733 ,-1.583 ,1499
5234,35096,Domagne,48.083 ,-1.383 ,1499
5235,62620,Norrent-Fontes,50.583 ,2.400 ,1499
5236,29204,Plouneventer,48.517 ,-4.217 ,1498
5237,59387,Marquette-en-Ostrevent,50.283 ,3.267 ,1498
5238,6060,Falicon,43.750 ,7.283 ,1498
5239,61447,Saint-Pierre-du-Regard,48.850 ,-0.550 ,1497
5240,59247,Forest-sur-Marque,50.633 ,3.183 ,1497
5241,30152,LesMages,44.233 ,4.150 ,1497
5242,25432,Orchamps-Vennes,47.133 ,6.533 ,1497
5243,64304,Lahonce,43.483 ,-1.383 ,1496
5244,16242,Nanteuil-en-Vallee,46.000 ,0.317 ,1496
5245,91533,Saclas,48.367 ,2.117 ,1496
5246,59555,Sars-Poteries,50.167 ,4.017 ,1496
5247,6006,Aspremont,43.783 ,7.250 ,1496
5248,53123,Juvigne,48.233 ,-1.033 ,1495
5249,28021,Bailleau-le-Pin,48.367 ,1.333 ,1495
5250,12094,Entraygues-sur-Truyere,44.650 ,2.567 ,1495
5251,2383,Homblieres,49.850 ,3.367 ,1495
5252,28001,Abondant,48.783 ,1.433 ,1494
5253,91511,Pussay,48.350 ,2.000 ,1494
5254,80632,Pont-de-Metz,49.883 ,2.250 ,1494
5255,60238,Fleurines,49.250 ,2.583 ,1494
5256,22049,Crehen,48.550 ,-2.217 ,1493
5257,37185,Poce-sur-Cisse,47.433 ,0.983 ,1493
5258,62195,Calonne-sur-la-Lys,50.617 ,2.617 ,1493
5259,57350,Jouy-aux-Arches,49.067 ,6.083 ,1493
5260,88355,Portieux,48.350 ,6.350 ,1492
5261,79014,Argenton-l'Eglise,47.050 ,-0.267 ,1491
5262,80222,Crecy-en-Ponthieu,50.250 ,1.883 ,1491
5263,56190,Reguiny,47.967 ,-2.750 ,1490
5264,17411,Saint-Trojan-les-Bains,45.833 ,-1.200 ,1490
5265,33047,Berson,45.117 ,-0.583 ,1490
5266,57153,Corny-sur-Moselle,49.033 ,6.067 ,1490
5267,35004,Antrain,48.450 ,-1.483 ,1489
5268,37245,Semblancay,47.500 ,0.583 ,1489
5269,9032,Ax-les-Thermes,42.717 ,1.833 ,1489
5270,46170,Leyme,44.783 ,1.917 ,1489
5271,66222,Vernet-les-Bains,42.550 ,2.383 ,1489
5272,66179,Saint-Laurent-de-Cerdans,42.383 ,2.617 ,1489
5273,42289,Saint-Symphorien-de-Lay,45.950 ,4.217 ,1489
5274,74067,Chavanod,45.883 ,6.050 ,1489
5275,77260,Longueville,48.517 ,3.250 ,1488
5276,86209,Roches-Premarie-Andille,46.467 ,0.367 ,1487
5277,60044,Balagny-sur-Therain,49.300 ,2.333 ,1487
5278,89003,Aillant-sur-Tholon,47.867 ,3.350 ,1487
5279,89439,Vergigny,47.967 ,3.717 ,1487
5280,13049,Lamanon,43.700 ,5.083 ,1487
5281,57534,Peltre,49.083 ,6.233 ,1487
5282,72175,Luche-Pringe,47.700 ,0.083 ,1486
5283,54286,Labry,49.167 ,5.867 ,1486
5284,31364,Montberon,43.717 ,1.483 ,1485
5285,12138,Marcillac-Vallon,44.467 ,2.467 ,1485
5286,16146,Garat,45.633 ,0.267 ,1484
5287,76374,Incheville,50.017 ,1.500 ,1484
5288,58152,Magny-Cours,46.883 ,3.150 ,1483
5289,22228,Plounevez-Moedec,48.567 ,-3.450 ,1482
5290,22372,Tremuson,48.517 ,-2.850 ,1482
5291,64238,Ger,43.250 ,-0.050 ,1482
5292,37062,Chateau-la-Valliere,47.550 ,0.317 ,1482
5293,60501,LePlessis-Brion,49.467 ,2.900 ,1482
5294,1231,Manziat,46.350 ,4.900 ,1482
5295,40002,Amou,43.600 ,-0.750 ,1481
5296,27549,Saint-Germain-Village,49.350 ,0.500 ,1481
5297,80235,Dargnies,50.050 ,1.533 ,1481
5298,23001,Ahun,46.083 ,2.050 ,1481
5299,45335,Vienne-en-Val,47.800 ,2.133 ,1481
5300,10261,Mussy-sur-Seine,47.967 ,4.500 ,1481
5301,1163,Foissiat,46.367 ,5.183 ,1481
5302,16058,Boutiers-Saint-Trojan,45.717 ,-0.300 ,1478
5303,31259,Lacroix-Falgarde,43.500 ,1.417 ,1478
5304,91648,Vert-le-Grand,48.567 ,2.367 ,1477
